date,username,verdict
2010-10-12,Будянский Валентин Евгеньевич,Возрождение таланта
2019-05-07,Фергасова Дарья Богдановна,Приобретение магической силы
2016-11-16,Босолаев Николай Андреевич,Обретение мира
2022-08-16,Отюзский Евгений Валериевич,Победа в соревновании
2006-06-22,Енакаев Вячеслав Андреевич,Новые возможности
2003-05-13,Журонов Юрий Михаилович,Победа над тьмой внутри
2013-10-17,Евлошин Пётр Иванович,error
2006-11-08,Макшанов Денис Андреевич,Открытие новой реальности
2014-10-13,Матвейцев Михаил Фёдорович,Изменение характера
2021-09-07,Саакова Людмила Эдуардовна,Разрешение загадки
2020-11-14,Неволин Степан Валериевич,Победа над судьбой
2011-06-27,Гглосова Ева Петровна,Признание героем
2022-11-15,Бурокова Евгения Кирилловна,Удачное путешествие
2011-07-13,Тутубалина Яна Кирилловна,Возвращение домой
2011-12-22,Апольцева Валерия Кирилловна,Признание героем
2007-10-27,Никулкова Инна Эдуардовна,Рождение ребенка
2020-06-22,Киличкин Юрий Антонович,Победа над тьмой
2009-09-13,Велиев Герасим Георгиевич,Приключение начинается
2023-10-13,Душанин Юрий Алексеевич,Победа над страхом
2013-09-24,Брайцева Тамара Олеговна,Освобождение из плена
2018-07-10,Тарнакова Кира Олеговна,Победа над страхом
2023-05-18,Волочейкин Герасим Вадимович,Победа над тьмой внутри
2012-07-14,Ницлавский Владимир Денисович,Покорение невидимого врага
2010-09-26,Горюшкин Алексей Антонович,Победа над страхом
2006-10-10,Луненкова Клавдия Никитична,Открытие новой реальности
2019-08-14,Захрабов Георгий Игоревич,Открытие новой реальности
2017-09-24,Синезова Мария Игоревна,Новое начало
2003-08-21,Колпачева Тамара Сергеевна,Избавление от проклятия
2003-05-11,Никишанов Владимир Викторович,Изменение прошлого
2000-06-16,Козулин Ярослав Игоревич,Обретение мудрости
2009-09-18,Доболина Мария Егоровна,Покорение тайного мира
2020-09-13,Ликсонова Ева Михайловна,Победа над судьбой
2018-06-11,Пришкин Василий Викторович,Освобождение из плена
2001-06-25,Швабовская София Эдуардовна,Обретение вечной молодости
2001-08-12,Хочанский Василий Алексеевич,Покорение тайного мира
2022-11-13,Мундштуков Виталий Петрович,Победа над злом
2023-12-18,Измалков Олег Михаилович,Обретение внутреннего покоя
2000-06-20,Каохцина Алёна Вадимовна,Предсказание будущего
2016-10-23,Алеканова Александра Петровна,Новые возможности
2010-05-22,Дешуков Артур Алексеевич,Обретение баланса сил
2007-10-10,Нициевский Артур Олегович,Помощь от незнакомца
2023-08-14,Лорченков Николай Антонович,Обретение душевного спокойствия
2008-09-26,Путяков Станислав Вадимович,Победа над тьмой
2022-05-13,Русских Александр Василиевич,Изменение судьбы
2022-11-28,Браилов Николай Иванович,Долгожданная встреча
2010-05-21,Джамбова Тамара Николаевна,Разрешение семейной тайны
