ID,date,username,vedict
134021417209,2010-10-12,Будянский Валентин Евгеньевич,Возрождение таланта
96088599451,2019-05-07,Фергасова Дарья Богдановна,Приобретение магической силы
102727489725,2016-11-16,Босолаев Николай Андреевич,Обретение мира
122294978212,2022-08-16,Отюзский Евгений Валериевич,Победа в соревновании
104147492708,2006-06-22,Енакаев Вячеслав Андреевич,Новые возможности
92556646398,2003-05-13,Журонов Юрий Михаилович,Победа над тьмой внутри
93659552882,2013-10-17,Евлошин Пётр Иванович,error
77068198616,2006-11-08,Макшанов Денис Андреевич,Открытие новой реальности
119057314719,2014-10-13,Матвейцев Михаил Фёдорович,Изменение характера
79528542365,2021-09-07,Саакова Людмила Эдуардовна,Разрешение загадки
104055316098,2020-11-14,Неволин Степан Валериевич,Победа над судьбой
100125254988,2011-06-27,Гглосова Ева Петровна,Признание героем
127746886569,2022-11-15,Бурокова Евгения Кирилловна,Удачное путешествие
98239878023,2011-07-13,Тутубалина Яна Кирилловна,Возвращение домой
123701476082,2011-12-22,Апольцева Валерия Кирилловна,Признание героем
88129071893,2007-10-27,Никулкова Инна Эдуардовна,Рождение ребенка
85525859800,2020-06-22,Киличкин Юрий Антонович,Победа над тьмой
91021372962,2009-09-13,Велиев Герасим Георгиевич,Приключение начинается
96943427908,2023-10-13,Душанин Юрий Алексеевич,Победа над страхом
92120721616,2013-09-24,Брайцева Тамара Олеговна,Освобождение из плена
89956746071,2018-07-10,Тарнакова Кира Олеговна,Победа над страхом
122895416200,2023-05-18,Волочейкин Герасим Вадимович,Победа над тьмой внутри
101545623957,2012-07-14,Ницлавский Владимир Денисович,Покорение невидимого врага
117591153295,2010-09-26,Горюшкин Алексей Антонович,Победа над страхом
115655216195,2006-10-10,Луненкова Клавдия Никитична,Открытие новой реальности
124938733418,2019-08-14,Захрабов Георгий Игоревич,Открытие новой реальности
96605916568,2017-09-24,Синезова Мария Игоревна,Новое начало
108648206183,2003-08-21,Колпачева Тамара Сергеевна,Избавление от проклятия
124430768422,2003-05-11,Никишанов Владимир Викторович,Изменение прошлого
82510748317,2000-06-16,Козулин Ярослав Игоревич,Обретение мудрости
104740725442,2009-09-18,Доболина Мария Егоровна,Покорение тайного мира
101298208757,2020-09-13,Ликсонова Ева Михайловна,Победа над судьбой
119224175614,2018-06-11,Пришкин Василий Викторович,Освобождение из плена
141259327774,2001-06-25,Швабовская София Эдуардовна,Обретение вечной молодости
127846381409,2001-08-12,Хочанский Василий Алексеевич,Покорение тайного мира
106818242465,2022-11-13,Мундштуков Виталий Петрович,Победа над злом
83881317624,2023-12-18,Измалков Олег Михаилович,Обретение внутреннего покоя
96647679742,2000-06-20,Каохцина Алёна Вадимовна,Предсказание будущего
145375290431,2016-10-23,Алеканова Александра Петровна,Новые возможности
79273267289,2010-05-22,Дешуков Артур Алексеевич,Обретение баланса сил
97423147352,2007-10-10,Нициевский Артур Олегович,Помощь от незнакомца
102938953510,2023-08-14,Лорченков Николай Антонович,Обретение душевного спокойствия
86985549758,2008-09-26,Путяков Станислав Вадимович,Победа над тьмой
106914791391,2022-05-13,Русских Александр Василиевич,Изменение судьбы
86631914088,2022-11-28,Браилов Николай Иванович,Долгожданная встреча
88246161272,2010-05-21,Джамбова Тамара Николаевна,Разрешение семейной тайны
137299472602,2017-10-12,Бикмурдина Наталья Петровна,Победа над силами природы
124293224503,2009-11-28,Шамшина Маргарита Кирилловна,Новый старт
92085562745,2016-05-19,Пахошкина Елена Кирилловна,Признание своих способностей
81458320794,2012-10-15,Ланкина Юлия Николаевна,Разрешение семейной тайны
110050159686,2019-12-28,Алембекова Карина Николаевна,Победа над проклятием семьи
89964704485,2015-10-17,Пащарина Алиса Михайловна,Победа в соревновании
109358312372,2012-06-24,Бугаков Виталий Сергеевич,Признание правды
108186802821,2011-11-23,Минникаев Станислав Юриевич,Победа над злом
126948404525,2009-12-13,Бутлицкий Аркадий Михаилович,Успех в учебе
124523521626,2007-09-26,Гиверенков Дмитрий Леонидович,Новая работа
76324224809,2000-05-20,Вышенков Артур Романович,Богатство приходит
117236919537,2008-12-13,Копчинский Степан Юриевич,Признание своей уникальности
104205426518,2010-05-12,Атазарова Ирина Евгеньевна,Освобождение из плена
106199308066,2010-12-15,Пименкова Елена Максимовна,Изменение характера
107809147511,2008-06-18,Айдина Елизавета Валерьевна,Покорение тайного мира
96097201284,2007-08-12,Янкулин Ярослав Яковлевич,Обретение душевного спокойствия
67748046470,2009-07-21,Турнев Иван Павлович,Покорение невозможного
106948194610,2015-12-12,Курбашов Федор Викторович,Победа над сомнениями
111971752439,2004-10-16,Аничин Валентин Вадимович,Рождение ребенка
93588398490,2016-08-28,Кардаев Денис Яковлевич,Новая работа
107551671598,2023-06-28,Беденгов Николай Сергеевич,Разрешение загадки
144757038230,2016-07-12,Казневская София Аркадьевна,Победа в соревновании
112805924397,2006-12-13,Вощаникин Борис Виталиевич,Обретение вечной молодости
123965073015,2012-06-25,Межинский Григорий Юрьевич,Покорение магического зверя
94718947354,2011-07-11,Теумин Борис Михаилович,Раскрытие заговора
102644205263,2000-12-27,Шутенков Артур Евгеньевич,Избавление от проклятия
134597972157,2009-07-09,Бердинова Зинаида Андреевна,Удачное путешествие
93169753607,2005-08-27,Севолкин Эдуард Максимович,Покорение невозможного
